Q,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca
0.00,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000
0.01,0.998,1.998,2.986,3.987,4.988,5.990,6.991,7.992,8.993,9.993,10.980,11.978,12.976,13.976,14.977,15.979,16.980,17.981,18.963,19.959
0.02,0.991,1.993,2.947,3.950,4.954,5.958,6.963,7.967,8.970,9.973,10.922,11.914,12.903,13.900,14.914,15.915,16.919,17.924,18.854,19.838
0.03,0.980,1.984,2.884,3.889,4.897,5.907,6.918,7.926,8.933,9.938,10.830,11.811,12.786,13.787,14.798,15.809,16.820,17.830,18.683,19.645
0.04,0.966,1.972,2.802,3.807,4.820,5.837,6.855,7.869,8.881,9.891,10.709,11.674,12.629,13.628,14.646,15.665,16.683,17.700,18.462,19.392
0.05,0.947,1.957,2.708,3.707,4.724,5.749,6.776,7.798,8.815,9.830,10.568,11.507,12.439,13.434,14.458,15.484,16.511,17.536,18.204,19.091
0.06,0.925,1.939,2.606,3.592,4.613,5.645,6.682,7.712,8.736,9.757,10.412,11.319,12.222,13.209,14.237,15.271,16.306,17.340,17.924,18.758
0.07,0.900,1.917,2.502,3.468,4.488,5.526,6.574,7.612,8.645,9.672,10.249,11.116,11.987,12.961,13.990,15.030,16.073,17.116,17.630,18.405
0.08,0.872,1.893,2.400,3.336,4.352,5.396,6.453,7.501,8.541,9.576,10.084,10.903,11.739,12.695,13.721,14.764,15.814,16.865,17.332,18.045
0.09,0.842,1.866,2.304,3.201,4.209,5.255,6.321,7.378,8.427,9.469,9.920,10.687,11.485,12.417,13.435,14.478,15.533,16.591,17.032,17.685
0.10,0.811,1.837,2.215,3.065,4.060,5.107,6.180,7.245,8.302,9.351,9.760,10.472,11.230,12.134,13.138,14.177,15.234,16.298,16.733,17.331
0.11,0.778,1.806,2.135,2.932,3.908,4.952,6.030,7.103,8.168,9.225,9.605,10.262,10.978,11.849,12.834,13.865,14.921,15.988,16.436,16.987
0.12,0.744,1.774,2.065,2.804,3.756,4.794,5.875,6.954,8.026,9.090,9.455,10.059,10.733,11.567,12.527,13.546,14.597,15.665,16.138,16.655
0.13,0.710,1.737,2.004,2.683,3.606,4.633,5.714,6.798,7.876,8.948,9.309,9.864,10.498,11.292,12.223,13.224,14.266,15.331,15.841,16.334
0.14,0.676,1.701,1.950,2.569,3.459,4.472,5.551,6.637,7.721,8.799,9.166,9.678,10.273,11.025,11.922,12.902,13.932,14.991,15.543,16.024
0.15,0.641,1.663,1.904,2.463,3.316,4.311,5.385,6.472,7.560,8.643,9.027,9.502,10.059,10.769,11.629,12.583,13.597,14.647,15.243,15.723
0.16,0.608,1.624,1.863,2.365,3.179,4.153,5.218,6.304,7.395,8.483,8.888,9.334,9.857,10.525,11.345,12.270,13.263,14.301,14.941,15.430
0.17,0.574,1.584,1.828,2.277,3.048,3.998,5.051,6.134,7.226,8.318,8.751,9.175,9.667,10.293,11.072,11.964,12.934,13.957,14.638,15.142
0.18,0.542,1.543,1.796,2.197,2.924,3.847,4.886,5.964,7.055,8.150,8.613,9.023,9.487,10.074,10.811,11.668,12.611,13.615,14.334,14.859
0.19,0.511,1.502,1.768,2.125,2.808,3.701,4.723,5.793,6.883,7.978,8.475,8.876,9.318,9.868,10.563,11.382,12.297,13.279,14.031,14.580
0.20,0.481,1.460,1.742,2.060,2.699,3.560,4.563,5.623,6.709,7.805,8.335,8.735,9.158,9.673,10.327,11.109,11.991,12.949,13.728,14.304
0.22,0.424,1.377,1.693,1.951,2.503,3.297,4.254,5.289,6.362,7.454,8.052,8.465,8.862,9.319,9.894,10.598,11.413,12.315,13.130,13.760
0.24,0.373,1.295,1.648,1.864,2.336,3.058,3.963,4.965,6.020,7.102,7.764,8.205,8.592,9.004,9.510,10.138,10.881,11.721,12.550,13.225
0.25,0.350,1.254,1.626,1.828,2.263,2.949,3.825,4.808,5.851,6.928,7.618,8.078,8.465,8.859,9.335,9.927,10.633,11.441,12.268,12.961
0.26,0.328,1.214,1.604,1.795,2.195,2.846,3.693,4.655,5.685,6.754,7.471,7.951,8.341,8.722,9.170,9.727,10.398,11.172,11.994,12.701
0.28,0.287,1.136,1.559,1.739,2.077,2.658,3.445,4.363,5.363,6.412,7.176,7.698,8.103,8.467,8.869,9.363,9.964,10.671,11.468,12.194
0.30,0.251,1.060,1.513,1.692,1.979,2.494,3.219,4.089,5.054,6.079,6.881,7.446,7.873,8.231,8.600,9.039,9.576,10.216,10.977,11.705
0.32,0.220,0.988,1.465,1.652,1.897,2.351,3.014,3.834,4.761,5.758,6.588,7.194,7.648,8.011,8.357,8.752,9.231,9.807,10.521,11.240
0.34,0.193,0.920,1.417,1.616,1.829,2.227,2.831,3.599,4.484,5.451,6.298,6.943,7.426,7.800,8.134,8.494,8.923,9.441,10.103,10.800
0.35,0.180,0.887,1.393,1.600,1.799,2.171,2.747,3.489,4.353,5.302,6.156,6.817,7.316,7.698,8.029,8.376,8.782,9.272,9.908,10.590
0.36,0.169,0.856,1.369,1.583,1.771,2.120,2.667,3.383,4.225,5.158,6.015,6.691,7.205,7.597,7.928,8.262,8.649,9.113,9.722,10.388
0.38,0.148,0.795,1.320,1.551,1.723,2.028,2.522,3.186,3.983,4.880,5.739,6.442,6.985,7.398,7.733,8.051,8.403,8.820,9.375,10.004
0.40,0.130,0.738,1.270,1.520,1.681,1.948,2.393,3.006,3.759,4.617,5.471,6.194,6.766,7.202,7.547,7.856,8.181,8.558,9.061,9.650
0.42,0.115,0.686,1.221,1.489,1.644,1.880,2.278,2.844,3.551,4.370,5.214,5.951,6.548,7.008,7.367,7.673,7.979,8.322,8.778,9.324
0.44,0.101,0.636,1.173,1.458,1.611,1.821,2.178,2.697,3.360,4.139,4.967,5.712,6.330,6.815,7.190,7.501,7.794,8.110,8.522,9.025
0.45,0.095,0.613,1.149,1.443,1.596,1.794,2.132,2.629,3.270,4.029,4.848,5.595,6.222,6.719,7.103,7.417,7.706,8.011,8.403,8.885
0.46,0.090,0.591,1.125,1.427,1.581,1.770,2.089,2.564,3.183,3.923,4.731,5.480,6.115,6.622,7.017,7.335,7.621,7.917,8.290,8.752
0.48,0.079,0.548,1.078,1.395,1.553,1.725,2.011,2.445,3.022,3.722,4.506,5.253,5.902,6.431,6.845,7.174,7.459,7.739,8.080,8.502
0.50,0.071,0.509,1.033,1.362,1.526,1.685,1.942,2.338,2.874,3.535,4.293,5.034,5.692,6.240,6.674,7.017,7.305,7.575,7.889,8.275
0.55,0.053,0.423,0.924,1.279,1.463,1.603,1.802,2.115,2.559,3.126,3.811,4.520,5.186,5.769,6.250,6.633,6.941,7.207,7.474,7.788
0.60,0.040,0.353,0.823,1.195,1.402,1.537,1.697,1.946,2.309,2.517,3.398,4.059,4.713,5.312,5.829,6.254,6.595,6.875,7.125,7.392
0.65,0.031,0.295,0.732,1.112,1.339,1.479,1.616,1.816,2.112,2.517,3.048,3.652,4.277,4.878,5.418,5.877,6.254,6.560,6.814,7.057
0.70,0.024,0.248,0.650,1.030,1.276,1.426,1.551,1.714,1.956,2.296,2.754,3.297,3.883,4.470,5.020,5.505,5.915,6.252,6.523,6.762
0.80,0.015,0.177,0.512,0.876,1.147,1.322,1.445,1.568,1.735,1.971,2.305,2.729,3.221,3.750,4.284,4.790,5.245,5.639,5.961,6.228
0.90,0.010,0.129,0.404,0.740,1.020,1.219,1.353,1.463,1.588,1.757,1.997,2.317,2.712,3.164,3.649,4.138,4.607,5.036,5.406,5.717
1.00,0.007,0.095,0.320,0.622,0.900,1.114,1.265,1.377,1.482,1.609,1.784,2.022,2.330,2.702,3.122,3.570,4.023,4.460,4.859,5.209
1.10,0.005,0.072,0.255,0.522,0.790,1.012,1.172,1.298,1.398,1.502,1.634,1.812,2.049,2.346,2.698,3.092,3.509,3.931,4.337,4.710
1.20,0.003,0.055,0.205,0.439,0.690,0.914,1.090,1.221,1.324,1.414,1.524,1.660,1.841,2.076,2.364,2.699,3.070,3.462,3.855,4.233
1.30,0.003,0.042,0.165,0.369,0.602,0.822,1.004,1.145,1.254,1.346,1.438,1.546,1.687,1.872,2.104,2.384,2.704,3.056,3.423,3.791
1.40,0.002,0.033,0.134,0.311,0.524,0.736,0.921,1.070,1.186,1.280,1.367,1.459,1.571,1.717,1.903,2.133,2.405,2.713,3.045,3.391
